id,cor_sentence
grm2208230064580,항암 효과 인정으로 의도치 않게 고구마 소비량이 증가한 것 아닌가요?
grm2208240091344,그리고 외워야 하는 내용인가요?
grm2208040075975,복습할 때 너무너무 불편하고 시간 낭비가 큽니다.
grm2208300068517,부도체는 그냥 거의 전류가 흐르지 않고요.
grm2207290015521,신생대 때 태평양이 좁아졌다고는 나와있는데 신생대부터 좁아지기 시작했다고는 안 나와있는 것 같습니다.
grm2207200038430,어디까지나 제 개인적인 생각이지만요.
grm2207050027349,정시라면 수능 등급 알려주실 수 있으신가요?
grm2207060028055,제가 감히 그 실력에 맞는 것은 아니다.
grm2210140098905,내가 그렇게 하겠다 하면 다시 그 교수님이랑도 얘기하고 알아봐야 하는 부분인 것 같아.
grm2208080081197,그렇다면 결과적으로는 저항이 발생했을 때처럼 그 외래문화는 해당 사회에서 지위를 잃게 되나요.
grm2208100081539,세대 간 이동에서 부모와 자녀의 계층이 같다고...
grm2209160113491,"연산군, 선조는 저랑 생각이 같네요."
grm2209230100288,차라리 박람회의 가치를 높이기 위한 건데 저거 그냥 문자로 보내줄 수 있어?
grm2209290109257,오답이랑 같이 정리해야겠네요.
grm2207050009069,금속공학과 쪽을 노리려면 부산대나 경북대 가는 게 맞지.
grm2210190099258,벼랑 끝에 서 있다는 생각으로 해야 한다고 하시더라.
grm2208230093541,쉼표가 있어서 헷갈리네요.
grm2208250072896,올해 교재를 사기에는 여력이 부족해서.
grm2208050061412,생각했는데 수능 망치고 재수하고 있어요.
grm2208240073010,이 사진의 경우에는 어떻게 되는지 궁금해요.
grm2209160111484,새내기 때 꿀팁도 있어요.
grm2208050056145,시에서 구절의 범위가 어디까지 되는지 모르겠습니다.
grm2210190118304,만약 정한 양을 계획보다 일찍 끝내면 남은 시간에 다른 보충할 것들 보충했습니다.
grm2206220037399,그런 경우에는 어떡하면 좋을까요?
grm2207070009131,그렇게 풀어도 되고 올해 시험 부터 쭉 내려가도 돼요.
grm2210210105062,오늘 학회 끝나고 과자랑 맥주 마시고 싶어.
grm2210060115886,치기 어린 마음에 선택하는 과목입니다.
grm2209290107498,본과 때를 한의학과라 합니다.
grm2206170050064,염주는 꿈을 꾸기 전 포단에 있었다.
grm2207130009736,추가적으로 하면 좋을 거 말씀해 주시면 감사하겠습니다.
grm2209300114980,제대로 일 안 하면 욕해야죠.
grm2206230002720,왜 거짓인지도 이해가 안 됩니다.
grm2209090074617,이렇게 되는 이유가 궁금합니다.
grm2207200033149,"어떤 흐름으로 푸시는지, 어떻게 접근하시는지 궁금해요!"
grm2206240031880,기다리느라 목 빠지는 줄 알았어요.
grm2209290116851,내년에 소셜 미디어도 파고 싶어요.
grm2207110012306,세상에 제가 어딜 봐서 귀엽다는 걸까요?
grm2209290116801,강의에서 선생님이 치라고 하셔서요.
grm2206300028584,그냥 읽어도 중간에 집중을 놓치는 경우가 있어요.
grm2210070114454,독학 재수하셨다고 해서 아실 것 같아 여쭤봅니다!
grm2206140068982,그러니까 빠르기 때문에 온도가 높다 온도가 높기 때문에 빠르다 둘 다 성립하나요?
grm2209190100375,애들한테 저 학생 얼굴 보이냐고 묻고 그런다.
grm2207060019435,같은 반에서 시험을 봤던 친구는 계속 신경 쓰였다고 했는데 저는 시험에 집중하다 보니 생각보다 덜 신경 쓰이더라고요.
ext0000000121617,그리고 점점 더 더워지고 있다.
grm2210040112076,저도 저렇게 말하면서 별점 테러하는 학생 있어서 화났다.
grm2210110099917,역사적인 가치가 있어야 하고 목조주택이어야 하고 보존해서 다른 시설로 사용하는 사례가 생각보다 없네.
grm2208310072392,근데 어떻게 저렇게 쓸 수 있나요?
grm2208240077751,아니면 작년에 변화된 체제가 올해도 동일하나요?
grm2209020082382,근데 가치의 뜻은 정확히 무엇인가요?
grm2208110079471,여기서 그래프가 왜 올라가야 하나요?
grm2209220116320,저승 가는 길에 사탕 하나 사 먹을게요.
grm2210060105364,진짜... 오는 말이 고와야 가는 말이 곱다는 걸 새삼 느낀다...
grm2207060015591,시험범위의 분량은 어느 정도인가요?
grm2209210109715,이런 식으로 써 내려갔다는 건가요?
grm2209070070317,아니면 고등학교 과정에서는 그냥 암기하는 게 좋나요.
grm2209140100499,학기 중에 준비할 수 있는 게 나름 꽤 있을걸?
grm2208240053927,힘이 발생한다는 것의 의미를 파악을 못하겠습니다.
grm2210200115632,틀린 건 어떻게 생각하시나요.
grm2208220077812,그러니까 여기서 왜 수선의 발을 내리란 건지 모르겠어요.
grm2210040114467,멘탈 스스로 극복하는 법 배웠거든요.
grm2207190032139,제가 그림을 좀 많이 못 그려요.
grm2207140018443,늦었지만 너무 좋고 효율 높은 팁이네요.
grm2208310087514,기존 정치 제도 밖에서 여론을 조정하여 활동한다는 게 무슨 의미인가요?
grm2209070064505,했으면 성리학 아닌가요?
grm2209290117102,근데 그 화학 번호로 전화하고 욕하던데요?
grm2208180069314,근데 전류가 흐를 수는 있다고...
grm2207260028403,근데 뭔가 불쌍해 보이시는데요.
grm2209130112037,새로운 문제를 만났을 때 어떨지 긴장이 됩니다.
grm2210170099840,내가 그거 모은다고 정말 힘들었거든.
grm2208080085436,혹시 원래 답지가 없는 책인가요?
grm2207070001474,오늘 진짜 뭐 많이 했는데 할 것도 그만큼 많이 남음.
grm2208030082119,하셨는데 그냥 합리적 판단으로 필요에 의해 그랬을 수도 있지 않나요.
grm2208010061578,혹시 내용 수준이 어느 정도인가요?
grm2207290003290,수시 접수할 때 상향으로 최저등급이 높은 학교를 지원하시게 될 수도 있어요.
grm2206200032538,아무래도 체계적으로 수능까지의 학습계획이 짜여 있고 학생은 그걸 따르기만 하면 되는 거니까요!
grm2210170105168,근데 문제는 정답을 댓글로 받잖아.
grm2207260031719,제 글솜씨도 제 인생도 남한테 큰 울림을 줄 만큼은 아니라고 생각했어요.
grm2209260113009,이제 그냥 새벽 에도 잠잠하고 새벽 공부하는 분위기 잘 잡혀있어요.
grm2210110098948,그리고 독자적인 세형 동검도 이때 만들어졌어.
grm2208290066597,선생님 갑자기 저렇게 축을 트는 이유를 모르겠어요.
grm2208040069583,하셨는데 그러면 가속도가 변하는 것 아닌가요?
grm2207180018254,마스터님 키 보니까 한국사 선생님이 생각나네요.
grm2208170084546,부모의 말에 순종적으로 따르는 것도 자녀의 역할인 건가요?
grm2209160110545,그 악명만큼은 아니고 누구나 감당 가능하기 어려워요.
grm2208170084071,파업이 일시적이고 예외적인 것으로 본다고 하셨는데 예외적이라는 게 구체적으로 무엇을 뜻하는 것인가요?
grm2206220024386,예전에 해설강의 한번 들어보긴 했어요.
grm2207110018476,현 상황에서 아예 정시로 돌리는 건 어려울까요?
grm2206170070180,기체는 원자가 많아도 에너지 준위가 모두 같은가요?
grm2209290113694,노트에 적어둔 문제는 선생님 수준으로 설명을 할 수 있을 정도가 되어야 한다는 것만 기억해 주세요.
grm2208180079118,연두색 함수가 어떻게 그려지는지 모르겠습니다.
grm2208110071719,"했는데, 이 사고 과정에 오류가 있나요?"
grm2209060052534,좀 더 자세한 설명이랑 이러이러하셔서 이렇게 생각했다!
grm2209260106767,너 요즘 요가학원 다시 다니겠다?
grm2209280114298,진도 나가시면서 회독을 함께 하시는 게 좋을 것 같습니다!
grm2209090087056,이렇게 구해도 맞는 거죠?
grm2207190034220,뭐든 과하지만 않으면 좋은 것 같아요.
grm2207260026754,연히 힘들고 당연히 아플 수밖에 없는 환경이에요.
grm2208030071755,선생님 여기에서 빛을 쏘는 대신 공 같은 걸 던져도 성립하나요?
grm2208170065805,갑자기 왜 소거가 되나요?
grm2208300084503,거시적 주제와 미시적 주제의 구체적인 차이점을 알 수 있을까요?
grm2207220036794,남에게 집중하는 시선을 거두고 오직 스스로의 성장에만 집중하는 거예요!
grm2207290015874,내신을 한다고 잠깐 손을 놓았더니 개념에 구멍이 숭숭 남.
grm2209130107388,다들 물리의 아름다움을 모르는 거 같아 슬프군요...
grm2208290080045,개강 날짜가 언제인지도 모르고 마냥 기다리기만 하고 있는데 교재를 미리 사서 강의를 들어야 하나요?
grm2208310041342,공부하는 것보다 기출분석하면서 그때그때 모르는 감정 표현어를 익히는 게 낫나요?
grm2208020078659,결국 저는 미적을 선택을 했는데 여전히 미적 문제가 잘 풀리지 않습니다.
grm2208010058146,백제가 왜에 끼친 영향이 이미 수업한 내용인가요?
grm2206290021003,개념 공부 열심히 하겠습니다!
grm2207270033390,오늘 콘텐츠는 막 심화 내용은 아니더라도 알아두면 팁이 될만한 내용들이니 꼼꼼히 확인하고 넘어가시길 바랍니다.
grm2209160114185,안 싸우는 게 이기는 거 다들 아시고 다들 여기서 많이 보셨잖아요.
grm2206280002040,안 들어온 지 좀 되니까 안 봐요.
grm2210040115071,펜이 기본 구성으로 있어요.
grm2210070116172,한 칸 남기고 안 들어가는데요.
grm2209080043535,선생님의 강의가 조금 어렵다는 평이 있어 제가 할 수 있을지 걱정이 됩니다.
grm2206240019470,"이렇게 하다 보면 어느 순간부터는 내가 얼마큼 할 수 있는지, 과목마다 얼만큼의 시간이 소요되는지 눈에 보이는 때가 올 거예요."
grm2208090061210,아니면 새로 바뀐 강의로 기존 교재를 쓰면서 듣는데 나을까요.
grm2208040078361,제 성적으로 수학을 반수로 한다는 건 오만하고 불가능하다고...
grm2210200101901,친구를 만났는데 점수가 나보다 높은 거야.
grm2206160083441,진화론은 사회 변동에 일정한 방향이 있다고...
grm2206270036352,중학교 때는 흐지부지 외우다가 고등학교 올라와서 제대로 단어를 외우고 있는데요.
grm2208110085687,이 부분이 매우 헷갈립니다.
grm2207150022954,코로나도 진정돼서 갈 수 있는 상황 된다.
grm2208160077001,첨부된 이미지를 봐주세요.
grm2208010057886,되어 있는데 선생님이 따로 언급하신 강의가 있을까요?
grm2208240041484,투자 자금이 해외로 빠져나가면 통화량이 줄어들지 않나요?
grm2208290051341,얼마만큼의 분량을 어떻게 소화하셨었는지 여쭤봐도 될까요?
grm2207190035334,특히 문법은 사설이나 다른 교재 보시지 마시고 평가원 기출만 보세요.
grm2209150111611,똑같은 지문을 또 보는 것은 지양하는 게 좋을까요?
grm2208250087248,가족 구성원 간의 갈등을 평등한 가족 관계의 확산으로 해결할 수 있다고...
grm2209130111259,어제 심심하고 볼 거 없어서 인강을 보는 기적을 맛보았습니다.
grm2209060055359,가끔 강의 수강 전부터 갖고 있던 독해 습관과 강의에서 요구하는 행동영역들이 상충되는 경우가 있습니다.
grm2209150111418,결국 이겨낼 우리니까 늘 열심히 살자고요.
grm2206210022491,"평소보다 발음 등 실수가 좀 있는데, 다음 영상에서는 그러지 않도록 주의할게요."
grm2206210036720,부족한 글 봐주셔서 감사합니다!
grm2209290115313,저는 복습할 때는 새로 지문을 뽑아서 풀었어요.
grm2206170070557,이제 거의 개념이 끝나서 기출을 풀면서 같이 병행하고 있는데 푸는 시간이 부족합니다.
grm2210190118310,반드시 끝내주셔야 될 거 같습니다.
grm2208030072513,왜 더 증가한다고 느껴요?
grm2208100088130,거부했는데도 문화 변동이라고 할 수 있나요?
grm2208010088194,그리고 어떻게 극복해야 될까요?
grm2206210026791,문제 푸는 순서를 말해주세요.
grm2209200116000,"문제를 풀고 듣는 건 하는데, 문제 풀이를 지우면서 해왔어요."
grm2210180115344,지금 보니 타사 언급해서 놀라신 게 아니었군요!
grm2210070106119,우리 학교 총학생회가 등록금 깎아보려고 학교랑 회의하고 있던데요.
grm2207280020467,플래너를 쓰면 뭔가 이쁘게 써야 할 것 같아서 달력에다가 오늘 할 일만 적어 놓는데 상관없겠죠?
grm2207120004208,이때는 시간 압박을 느끼지 않고 기출을 풀며 글 읽는 법을 체화하는 게 좋다고 생각했거든요.
grm2206130092412,둘 중에 뭐가 더 우선이 돼야 할까요?
grm2208080044933,청유문은 상대방에게 어떤 일을 함께 하기를 요청하는 문장이다.
grm2209200100566,백신이 몇 년 후나 나중에 부작용으로 인간을 죽이게 된다면요?
grm2210050119153,솔직히 학원 선생님보단 인터넷 강의가 훨씬 더 좋은것 같아서 고민입니다.
grm2208310042995,이 문장에서 변형 정도는 철근이 같은 길이로 압축되어도 그만큼 지름이 덜 늘어날 수 있다는 해석이 가능할 것 같습니다.
grm2207110013638,돈이 부족하면 이런 분들은 과외하면 그만일 텐데... 참 생각이 없네요.
grm2209260105213,물론 기숙사 떨어지면 또 통학이지만...
grm2208020074584,작년에 재수를 해서 현재 재학 중인 학교에 왔지만 아쉬움이 나와 반수를 시작하려고 합니다.
grm2208160085504,여기서 비례는 정비례만 해당인가요?
grm2207180024499,사설 문제집은 필수인 것 같습니다.
grm2206200032271,내신 때 엄청 열심히 했는데 하나도 기억 안 나네요.
grm2210050113560,진짜 죄송한데 말 한 번만 세게 할게요.
grm2207190025836,모르는 단어가 나오면 국어사전을 찾아보시면 좋습니다.
grm2208190075349,현역 재수 기간에 선생님 강의 듣던 군인입니다.
grm2208050093127,"주간지 환불을 진행하고 싶은데, 어떻게 해야 하는지 모르겠습니다."
grm2208180073109,왜 줄의 각이 커지면 줄에 걸린 힘이 작아지고 줄의 각이 작아지면 줄에 걸린 힘이 커지는지 잘 모르겠습니다.
grm2206140072099,그니까 여기서 말하고 싶은 게 대장균도 인간과 같은 복사 체계가 있는데 거기에 사람의 인슐린 유전자를 넣었더니 대장균이 유전자를 번역해서 인슐린을 생성했다!
grm2209290111087,잘 가셔서 내년에 뵙길 바라요.
grm2209130112232,역시 핸드폰은 불 끄고 침대에 누워서 해야죠.
grm2208010050650,술을 의인화해서 표현했음을 확인할 수 있다.
grm2206240020319,저녁에는 이것저것 하다 보면 시간이 너무 없어서요.
grm2207050012353,개인적으로 정말 대단하다고 생각합니다.
grm2207190013109,과탐 전 과목이라면 아마도 과목별이 좋을 것 같아요!
grm2207210010995,끝날 때까지 자만하지 말고 꾸준히 공부하셔야 해요.
grm2210180119356,그 와중에 시계 저거 저도 있는데.
grm2208100080136,있다면 어떤 문제인지 궁금합니다.
grm2208110084720,얼마 남지 않은 시간에 조금 건너뛰면서 들으려고 합니다.
grm2208090091821,노벨상의 발견을 기리는 문구들을 무지를 정제하는 과학에 붙여 읽는 게 맞나요?
grm2207050027849,학교 계단 올라갈 때마다 무릎에서 뼈 소리 같은 게 나더라고요.
grm2206270002198,딱히 불편한 점은 없을 겁니다.
ext0000000121381,이미 사회는 변해 가고 있다.
grm2208300074511,작년에 시험지를 구매한 학생입니다.
grm2208180080041,제가 생각하고 있는 것이 맞나요?
grm2206220030594,근데 이제 의사라는 직종 자체가 이제 레드오션 같아서리...
grm2208090051924,복습을 하다가 헷갈리는 부분이 있어서 질문을 드리는데요...
grm2210210109414,내신 챙긴다고 좀 안 했더니 그새 떨어지네요.
grm2206170053422,도대체 다음 강의 언제 올라오나요?
grm2210040114015,공부 게시판에 먹는 거 올리면 제 기분이 안 좋아지죠.
grm2210040109068,넌 그냥 여기 낄 수준 아니다.
grm2206290026689,비대면이라 가지를 못하고 있네요.
grm2209300112101,화학 재밌지만 수능은 싫습니다.
grm2209200108515,자체 문항이라 그런지 가격이 상당하네요.
grm2209210100022,"돈이랑 시간만 날린 건데, 면접도 최선을 다하긴 해야 하지만, 붙을지 아닐지도 모르는데 거기에 다 걸기엔 너무 좀 그래."
grm2209300112595,목표는 본인 역량 것 잡다.
grm2208090051607,많은 학생들이 선생님을 기다리고 응원하고 있다는 것을 꼭 기억하시고 책임감 있게 행동하시길 바랍니다.
grm2207040029852,교과서만의 장점이 있다고 느껴서 그런 것이에요.
grm2209220099365,난 예전에 그거 깨닫고 놀랬잖아.
grm2209210100106,자기들 가족이 눈앞에서 코로나 걸려서 죽고 이래야 긴장감 가지려나.
grm2209300104841,결석보다는 조퇴가 그나마 괜찮지.
grm2207150014918,지금 하는 공부로 대학이 바뀔 수 있다 믿고 열심히 할게요!
grm2207060032171,아니면 과 바꾸고 싶어요.
grm2206300029687,현존하는 최고의 논술이니 아무래도 그렇죠.
grm2209280115597,제 주위 친구들은 선생님의 언어와 작문 강의를 들었습니다.
grm2209290099850,나 다음 주 월요일부터 학교 계속 나오게 됐어요.
grm2208020074062,저게 어째서 평균값이 되는지 잘 이해가 안 돼요.
grm2210110106961,믿었던 국어 수학에 발등을 찍혀버렸네요.
grm2210120108536,뭔가 썰 끝나자마자 약학부로 바꾸신 거 멋있으시네요.
grm2209130112889,마스터님 이야기 재미있게 하시네요.
grm2207010018743,현역이다 보니 조금 조심스럽네요.
grm2209160110783,근데 정말 푸앙푸앙 하고 울 것 같아요.
grm2206130054398,이렇게 글쓴이가 도덕적 운을 부정하는 과정을 제 스스로 풀어써봤다.
grm2208030042233,초월적 공간에서의 내용 등 출제 포인트에서는 집중하며 읽으라고 하셨어요
grm2210190111438,시험 때 종이를 다 넣으라고 하시잖아요!
grm2208030070160,작용 반작용은 같은 힘으로 작용되는 것은 이해가 갔는데...
grm2210170107987,"당장 배운 것 점검하려면, 미분법까지만이라도 끝내놓고 들어가는 게 나을 수 있습니다."
grm2207260022352,그 친구의 친구들에게 연락도 해보고 하면서 확실해졌고요.
grm2209050062688,여름 수도 상경과 겨울 수도 대도를 세웠다고...
grm2207210021758,좋은 말 꽉꽉 담아 이야기해 주셔서 고마워요.
grm2206240017189,내년에 저의 도움이 필요하실 때 언제든 찾아오세요!
grm2207250024874,저는 급하게 하느라 진짜 암기가 힘들었는데요.
grm2210060114417,기본 강의라고 생각하시면 절대 절대 안 됩니다.
grm2210060106305,진짜 어쩌다 저 지경까지 갔을까?
grm2209150112189,물구나무 과제는 또 처음 들어보는데요?
grm2207290017576,"허둥지둥하느라 퀄리티를 떨어질 수 있습니다만, 분명 도움이 될 거예요!"
grm2209280109588,아침을 먹어야 머리가 좀 쌩쌩 돌아가는 거 같더라고요.
grm2209010057420,"호족 세력이 강하면, 과거제가 자리를 잡지 못하는 이유가 궁금합니다."
grm2210180114112,모의고사 시즌에는 어려운 문제들은 따로 노트를 만들어서 풀이법이랑 사고의 흐름 등을 정리했습니다.
grm2206210028889,저도 연주회 가려고 했었는데 하필 코로나가 터지는 바람에 못 갔어요.
grm2207280014995,장점도 있긴 한데 할 수 있으면 집 밥 먹고 공부하세요.
grm2208120053778,표현을 잘 생각하고 의식하면서 읽으려고 노력하고 있습니다.
grm2209070041970,본연의 자태를 배우지 못하면 죽겠다고 나와있잖아요.
grm2208090060440,하는데 그러면 베이징 조약에 관한 선지로 톈진 조약에 관한 선지가 와도 되나요?
grm2208300057456,하셨는데 그 문제가 뭔지 궁금해요.
grm2206240021241,담엔 더 좋은 콘텐츠로 돌아올게요.
grm2210180118001,저는 현역 정시로 카이스트를 꿈꾸고 있습니다!
grm2209150100903,거기에 맞춰서 동선을 새로 생각해 봐야지.
grm2210210107393,동문으로 들어오시길 기대할게요.
grm2210050118004,점점 책상에 앉아있는 시간이 늘어나요.
grm2207290030870,유형 문제집도 같이 병행할까요?
grm2208080051782,마지막 문단에 주파수 변형이 생긴다.
grm2209050044637,언어와 매체 강의 진행하신다면 언제부터 하시나요?
grm2207190036069,선생님이 강의 올리시면 바로 그날에 다 들어서 금방 끝났어요!
grm2208220064074,그리고 인권과 기본권이 함께 쓰이던데 같은 의미로 쓰이는 건지도 궁금합니다!
grm2209080043004,하루에 얼마큼씩 푸는 게 좋을까요?
grm2210130100350,비판적인 거밖에 생각이 안 나.
grm2207270033488,동기부여가 딱 필요한 시점이었는데 진짜 동기부여 가득 되네요!
grm2207070003555,특히 좋은 고등학교니까 다른 학교 애들이랑은 비교도 안되고요.
grm2208170084569,"세계화가 되면 연합, 협동 등을 통해 경제적 존립을 도모하고 도와줄 수 있지 않나요."
grm2208240071082,는 안 나와 있는데 상관이 없는 건가요?
grm2209080066915,진짜 너무 깔끔하고 명료하네요.
grm2207150002642,답의 근거는 늘 꼼꼼히 찾도록 연습하셔요.
grm2206170085941,이 문제에서 답을 찾을 수 없습니다.
grm2206220021584,아무래도 들어야 하는 학점이 많아지기는 하죠!
grm2208220050829,"선생님이 잡으라고 하신 구간은 다 잡았는데, 잡은 이유가 좀 달라요.."
grm2207280036388,이제 이 이후에는 늦게 일어나지 않는 한 꼭 이 시간대 졸려요.
grm2206220029124,지문을 시험에 나올 법한 다른 유형으로 바꿔서 예상해 보았어요.
grm2208300066664,하셨는데 보통 저항이 많을수록 전류의 세기가 줄어드는 이유는 전압까지 일정하고 때문인가요?
grm2207040018494,자신이 선택한 게 아니고 순응한 것이 아닌가?
grm2207180022131,다른 어려운 것들도 언젠가는 돌아보면서 벌써 이만큼이나 배웠다고 하게 될 거예요.
grm2209220107963,월간지로 기출분석하듯이 해도 되나요?
grm2209280118927,어쩌다 보니 손이 움직이는 대로 써진 거요!
ext0000000120375,이런 시민들이 용기를 잃지 않도록 연대하고 응원할 필요가 있다.
grm2208100041746,지문을 먼저 예습할 때 시간의 제약을 받고 현장에서처럼 읽어 보는 것이 좋을까요?
grm2208040090919,그런데 그렇게 되면 의미가 너무 달라져요.
grm2207010000936,새벽 공부 집중 안 될 때는 인터넷이 참 좋은데 말이야.
grm2208160079457,그럼 이때는 불연속일 수도 있는 거예요?
grm2209150110272,화장실을 다녀올 수 있나요?
grm2209080060062,강의를 듣다가 왜 다른 나라들이 발해를 그들의 역사라고 우기는지 의문이 생겼어요.
grm2207250000283,근데 원래 풀이는 미분으로 푸는 게 출제자의 의도였나 봐요.
grm2207180020905,읽는 게 중요했다고 생각했다.
grm2210190099668,언제 재택 하거나 할 때 한번 화상으로 만나보자.
grm2209080065139,아니면 그냥 이 두 양은 그냥 그 자체인가요.
ext0000000121611,"공짜 뉴스를 거부하고, 공신력 있는 뉴스에 대가를 지불하는 태도를 통해 언론인들이 다시 한번 신발끈을 조이도록 해야 한다."
grm2209050079159,질문은 사진으로 첨부했어요!
grm2207120014180,저 방법은 시도할 때마다 잘 먹히더라고요.
grm2206220000623,듣고 싶지 않은 과목까지 들어야 한다.
grm2207130003483,"해보다가 별로다 싶으면, 또 바꿔보고 하면 되죠."
grm2208080092400,아니면 복습하는 방법이 따로 있나요?
grm2207040010273,정법을 지금 할 거 없으시면 사설 모의고사 모음집을 사다 푸시는 게 좋습니다.
grm2209280109974,한 질문밖에 못하는지 물어봐도 될까요?
grm2208090081006,마무리되지 않는 뒷부분은 작년 걸로 들어도 크게 차이가 없을까요?
grm2206130083627,수혜 정도와 무관하게 비용 부담하는 것에 사회 서비스는 해당하지 않나요?
grm2210130098782,일정이 다소 빡빡할 수 있는데 괜찮은가요?
grm2207270001755,그걸 자신이 읽을 때 했던 것과 비교를 해나가며 교정을 하면 체화할 수 있어요.
grm2209090067526,겨울방학에 선생님 강의를 듣고 내신과 수능을 동시에 잡고 싶은데 둘 중 하나만 들어야 한다면 무엇을 듣는 것이 좋을까요?
grm2207080032770,오히려 제가 훨씬 더 감사합니다!
grm2208040065886,에너지 보존을 사용하여 문제를 푸시는데 문제에 에너지가 보존된다는 말이 없습니다.
grm2209060053506,한자가 다른데 둘을 어떻게 구별해서 해석할까요?
grm2206230001088,울지 말고 제게 감동받은 만큼 더 크게 도약해 봅시다.
grm2207200017214,이것저것 최대한 많이 알려 드리고 싶은 마음이에요.
grm2208100065191,위치가 바뀌고 있는데 왜 시공간의 측면이 비스듬하게 잘리는지 이유가 궁금합니다.
grm2209220112923,색감부터 비교가 안됩니다.
grm2209160112027,멋진 경영학도가 되길 바랍니다.
grm2208300092157,정말 단어 부족인데 강의를 멈추고 단어에만 시간을 투자하다가 다시 수강을 할까요?
grm2209070087821,헷갈려서 그러는데 예시 하나만 들어주실 수 있으세요.
grm2210130112121,교문 나서자마자 울었어요.
grm2209150112321,코로나 한두 달 안에 끝난다는데 진실인가요?
grm2207050030706,오늘도 이 영상과 함께 영어 공부를 했어요.
grm2208310064955,나머지는 추후에 다 올라오는 건가요?
grm2208030086223,아니면 저렇게 써도 범주가 되는 건가요?
grm2209280116594,단점도 시간이 많다입니다.
ext0000000120439,이 우표에 대한 정보를 수집가들은 이렇게 표기한다.
grm2208290075822,안 된다면 정확히 언제 안 되나요?
grm2209070076503,정말로 죄송한데요 제가 수학을 너무 못했거든요.
grm2206140051542,어떻게 생각을 바꿔야 좋을지 궁금해요!
grm2208290087490,"하셨는데, 자본가 계급, 노동자 계급 엄청 많은 사람들이 있잖아요."
grm2208160075874,작년에 풀었는데 궁금합니다.
grm2208050068841,속도의 크기라는 것은 가속도의 크기와 같은 말인가요?
grm2207040025738,좋은 글 잘 읽고 갑니다!
